service_id,date,exception_type
21-MAR_LW-AON_0,20210420,1
21-MAR_AMZON_0,20210420,1
21-MAR_JG-PON_0,20210421,1
21-MAR_LW-PON_0,20210421,1
21-MAR_MPON_0,20210421,1
21-MAR_RR-AON_0,20210421,1
21-MAR_RR-PON_0,20210421,1
21-MAR_UWON_0,20210421,1
21-MAR_WN-AON_0,20210421,1
21-MAR_WN-PON_0,20210421,1
21-MAR_LW-AON_0,20210421,1
21-MAR_AMZON_0,20210421,1
21-MAR_JG-PON_0,20210422,1
21-MAR_LW-PON_0,20210422,1
21-MAR_MPON_0,20210422,1
21-MAR_NH-AON_0,20210422,1
21-MAR_NH-PON_0,20210422,1
21-MAR_RR-AON_0,20210422,1
21-MAR_RR-PON_0,20210422,1
21-MAR_UWON_0,20210422,1
21-MAR_WN-AON_0,20210422,1
21-MAR_WN-PON_0,20210422,1
21-MAR_LW-AON_0,20210422,1
21-MAR_AMZON_0,20210422,1
21-MAR_JG-PON_0,20210423,1
21-MAR_LW-PON_0,20210423,1
21-MAR_MPON_0,20210423,1
21-MAR_NH-AON_0,20210423,1
21-MAR_NH-PON_0,20210423,1
21-MAR_RR-AON_0,20210423,1
21-MAR_RR-PON_0,20210423,1
21-MAR_UWON_0,20210423,1
21-MAR_WN-AON_0,20210423,1
21-MAR_WN-PON_0,20210423,1
21-MAR_LW-AON_0,20210423,1
21-MAR_AMZON_0,20210423,1
21-MAR_AMZON_5,20210424,1
21-MAR_AMZON_6,20210425,1
21-MAR_JG-PON_0,20210426,1
21-MAR_LW-PON_0,20210426,1
21-MAR_MPON_0,20210426,1
21-MAR_NH-AON_0,20210426,1
21-MAR_NH-PON_0,20210426,1
21-MAR_RR-AON_0,20210426,1
21-MAR_RR-PON_0,20210426,1
21-MAR_UWON_0,20210426,1
21-MAR_WN-AON_0,20210426,1
21-MAR_WN-PON_0,20210426,1
21-MAR_B2-630ON_0,20210426,1
21-MAR_LW-AON_0,20210426,1
21-MAR_AMZON_0,20210426,1
