stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10139,10139,"Meridian St & North St",,  39.775857, -86.157678,,,0,
10141,10141,"Meridian St & Saint Clair St",,  39.777822, -86.157618,,,0,
10143,10143,"Meridian St & 11th St",,  39.782155, -86.157447,,,0,
10144,10144,"Meridian St & 13th St",,  39.784209, -86.157353,,,0,
10146,10146,"Meridian St & 16th St",,  39.787875, -86.157205,,,0,
10147,10147,"Meridian St & 18th St",,  39.790666, -86.157232,,,0,
10149,10149,"Meridian St & 20th St",,  39.793832, -86.157258,,,0,
10150,10150,"Meridian St & 21st St",,  39.795563, -86.157318,,,0,
10167,10167,"38th St & Orchard Ave",,  39.825361, -86.128440,,,0,
10169,10169,"38th St & Caroline Ave",,  39.825366, -86.125966,,,0,
10171,10171,"38th St & Hillside  Ave",,  39.825327, -86.123309,,,0,
10172,10172,"38th St & Keystone Ave",,  39.825250, -86.121073,,,0,
10173,10173,"38th St & Temple Ave",,  39.825288, -86.118563,,,0,
10174,10174,"38th St & Rural St",,  39.825283, -86.116943,,,0,
10175,10175,"38th St & Oxford St",,  39.825286, -86.115319,,,0,
10176,10176,"38th St & Parker Ave",,  39.825296, -86.113603,,,0,
10178,10178,"38th St & Lasalle St",,  39.825290, -86.110089,,,0,
10179,10179,"38th St & Adams St",,  39.825293, -86.108491,,,0,
10181,10181,"38th St & Gale St",,  39.825292, -86.105884,,,0,
10182,10182,"38th St & Station St",,  39.825284, -86.104503,,,0,
10183,10183,"38th St & Sherman Dr",,  39.825294, -86.102402,,,0,
10184,10184,"38th St & Chester Ave",,  39.825321, -86.100366,,,0,
10187,10187,"38th St & Forest Manor Ave",,  39.825360, -86.098137,,,0,
10188,10188,"38th St & Gladstone Ave",,  39.825376, -86.096122,,,0,
10189,10189,"38th St & Linwood Ave",,  39.825397, -86.093922,,,0,
10191,10191,"38th St & Arthington Blvd",,  39.825433, -86.090978,,,0,
10193,10193,"38th St & Dequincy St",,  39.825455, -86.087984,,,0,
10195,10195,"38th St & Bancroft St",,  39.825476, -86.085274,,,0,
10196,10196,"38th St & Emerson Ave",,  39.825451, -86.082981,,,0,
10198,10198,"38th St & Butler Ave",,  39.825427, -86.080428,,,0,
10201,10201,"38th St & Whittier Pl",,  39.825401, -86.075284,,,0,
10202,10202,"38th St & Layman Ave",,  39.825387, -86.073201,,,0,
10205,10205,"38th St & Graham Ave",,  39.825407, -86.069658,,,0,
10206,10206,"38th St & Bolton Ave",,  39.825404, -86.066699,,,0,
10207,10207,"38th St & Arlington Ave",,  39.825453, -86.064247,,,0,
10208,10208,"38th St & Sheridan Ave",,  39.825462, -86.060109,,,0,
