,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,stop_x,stop_y
40,42.686671,0,1790,-84.588351,,,,REO RD & INGHAM ST,EBD Reo past Ingham St,0,1790,,989155.2069167689,679308.5228633622
41,42.697524,0,1797,-84.580652,,,,W HOLMES RD & PLEASANT GROVE RD,EBD Holmes past Pleasant Grove,0,1797,,989787.7165672394,680513.7645430863
42,42.696835,0,1796,-84.582162,,,,PLEASANT GROVE RD & W HOLMES RD,NBD Pleasant Grove before Holmes,0,1796,,989663.9322832435,680437.3786634803
43,42.693265,0,1795,-84.582225,,,,PLEASANT GROVE RD & HILLCREST ST,NBD Pleasant Grove past Hillcrest S,0,1795,,989658.149410029,680040.6000653572
44,42.691019,0,1794,-84.582237,,,,PLEASANT GROVE RD & MARY AVE,NBD Pleasant Grove before Mary Ave,0,1794,,989656.7743922926,679790.9712728352
45,42.65976,0,3333,-84.53735,,,,S CEDAR ST & E I 96,NBD Cedar past Roth Dr,0,3333,,993329.7594100074,676312.0155226628
46,42.712012,0,6098,-84.530164,,,,0 E MOUNT HOPE AVE & LINDBERGH DR,WBD Mt. Hope before Lindbergh,0,6098,,993924.0065489925,682118.9306519537
47,42.65534,0,3331,-84.53311,,,,S CEDAR ST & BENTON ST,NBD Cedar past Willoughby Rd,0,3331,,993676.7516172606,675820.4315047141
48,42.65028,0,3330,-84.52762,,,,CEDAR ST & FAY ST,NBD Cedar St at Fay Ave,0,3330,,994126.1837835072,675257.6463873028
49,42.67691,0,3337,-84.54767,,,,S CEDAR ST & E NORTHRUP ST,NBD Cedar past Northrup St,0,3337,,992486.2207371282,678219.0076796422
50,42.67352,0,3336,-84.54619,,,,S CEDAR ST & CURRY LN,NBD Cedar past Kaynorth Rd,0,3336,,992607.0471666199,677842.0971706787
51,42.67015,0,3335,-84.54441,,,,S CEDAR ST & CURRY LN,NBD Cedar past Miller Rd,0,3335,,992752.4703150304,677467.3859255244
52,42.580542,0,5466,-84.443203,,,,S JEFFERSON ST & E MAPLE ST,SBD Jefferson before Maple,0,5466,,1001046.4108215485,667504.7227661551
53,42.582162,0,5469,-84.45211,,,,W COLUMBIA ST & MECHANIC ST,EBD Columbia past Cedar,0,5469,,1000315.5065718411,667684.6809322294
54,42.737373,0,1627,-84.557326,,,,W SHIAWASSEE ST & N WALNUT ST,WBD Shiawassee past Walnut,0,1627,,991703.6256298524,684940.1868662026
55,42.711873,0,6093,-84.537152,,,,0 E MOUNT HOPE AVE & S PENNSYLVANIA AVE,EBD Mt. Hope past Pennsylvania,0,6093,,993351.8362387033,682104.0343600526
56,42.711874,0,6092,-84.54021,,,,0 E MOUNT HOPE AVE & DONORA ST,EBD Mt. Hope before Donora,0,6092,,993101.4566925212,682104.403195028
57,42.704545,0,6095,-84.507234,,,,0 FOREST RD & TRUDY LN,EBD Forest before Staten,0,6095,,995800.9111818568,681287.5354340794
58,42.711851,0,6094,-84.530128,,,,0 E MOUNT HOPE AVE & LINDBERGH DR,EBD Mt. Hope past Lindbergh,0,6094,,993926.9375991382,682101.0333089118
59,42.704697,0,6097,-84.506595,,,,0 FOREST RD & S US 127,WBD Forest before Staten,0,6097,,995853.2476779934,681304.3964412077
60,42.729979,0,2898,-84.487707,,,,CHESTNUT RD & SCIENCE RD,SBD Chestnut Rd before Dem. Hall,0,2898,,997401.0372622494,684113.6314851544
61,42.726445,0,1700,-84.451835,,,,E GRAND RIVER AVE & DAWN AVE,EBD Gr. River before Dawn,0,1700,,1000337.2501270776,683720.3276694012
62,42.725493,0,1701,-84.448483,,,,E GRAND RIVER AVE,EBD Gr. River Ave before Park Lake,0,1701,,1000611.6440467029,683614.5342322718
63,42.72431,0,1702,-84.44096,,,,W GRAND RIVER AVE & CANADIAN NATIONAL RAILWAY,EBD Gr. River Ave before Small Acre,0,1702,,1001227.4873827745,683483.131949715
64,42.72337,0,1703,-84.43544,,,,W GRAND RIVER AVE & MONTROSE AVE,EBD Gr. River Ave past Nakoma Dr,0,1703,,1001679.3800189527,683378.7525465563
65,42.72272,0,1704,-84.43155,,,,W GRAND RIVER AVE & GRANDVIEW AVE,EBD Gr. River Ave after Grand View,0,1704,,1001997.8415395727,683306.5953189575
66,42.72196,0,1705,-84.42705,,,,W GRAND RIVER AVE & OKEMOS MEIJER LOT,EBD Gr. River Ave past Okemos Rd,0,1705,,1002366.2507965058,683222.2450515259
67,42.71995,0,1706,-84.42464,,,,OKEMOS MEIJER LOT & OKEMOS MEIJER LOT,Okemos Meijer,0,1706,,1002563.6277188215,682998.9119305722
68,42.664721,0,4738,-84.576033,,,,GEORGETOWN BLVD & YUNKER ST,WBD Georgetown past Haag,0,4738,,990160.5510812075,676867.359055791
69,42.69975,0,3417,-84.53817,,,,S PENNSYLVANIA AVE & ALDEN DR,SBD Pennsylvania past Alden Dr,0,3417,,993267.1073306205,680756.6958293768
70,42.69671,0,4390,-84.53797,,,,S PENNSYLVANIA AVE & VERNON AVE,NBD Pennsylvania at Vernon Ave,0,4390,,993283.1413147165,680418.7977744298
71,42.712037,0,5919,-84.583719,,,,W MOUNT HOPE AVE & PLEASANT GROVE RD,EBD Mt Hope before Pleasant Grove,0,5919,,989539.1033040867,682127.2183770211
72,42.762043,0,1669,-84.502023,,,,,Meijer Lake Lansing Boarding Center (East Side),0,1669,,996231.2876197654,687678.1302624792
73,42.730539,0,4526,-84.474244,,,,PHYSICS RD,NBD Physics before Dormitory Rd,0,4526,,998503.0240409153,684175.5318036936
74,42.71997,0,5917,-84.424644,,,,OKEMOS MEIJER LOT,Rt 22 WBD at Meijer,0,5917,,1002563.2993896874,683001.1347562522
75,42.719754,0,5911,-84.46203,,,,S HAGADORN RD & CANADIAN NATIONAL RAILWAY,NBD Hagadorn past Hannah Blvd,0,5911,,999502.6635692011,682976.6464039092
76,42.762043,0,5910,-84.501999,,,,MEIJER LAKE LANSING LOT,Meijer Lake Lansing Boarding center (west side),0,5910,,996233.2510018789,687678.1291375004
77,42.730086,0,1661,-84.47788,,,,FARM LN & E CIRCLE DR,SBD Farm Ln before Auditorium Rd,0,1661,,998205.3994772964,684125.2558335109
78,42.730821,0,1660,-84.476642,,,,E CIRCLE DR & AUDITORIUM RD,SBD Farm past E Circle Dr,0,1660,,998306.7530178835,684206.923371653
79,42.767553,0,3772,-84.593738,,,,N GRAND RIVER AVE & YOUNG AVE,EBD Grand River past Young Ave,0,3772,,988729.3585937811,688299.1612540814
80,42.768305,0,3771,-84.596442,,,,N GRAND RIVER AVE & SHEFFER AVE,EBD Grand River before Sheffer Av,0,3771,,988508.3178663844,688383.1310587816
81,42.769164,0,3770,-84.599539,,,,N GRAND RIVER AVE & N WAVERLY RD,EBD Grand River past Waverly,0,3770,,988255.1574968486,688479.059069539
82,42.765495,0,3777,-84.586302,,,,N GRAND RIVER AVE & BENTON BLVD,EBD Grand River past Grandell Av,0,3777,,989337.2514597888,688069.3944574803
83,42.751002,0,4841,-84.462461,,,,N HAGADORN RD & FORTUNE DR,SBD Hagadorn past Crestwood,0,4841,,999467.6604124407,686449.8453903897
84,42.712132,0,6103,-84.56229,,,,0 W MOUNT HOPE AVE & S RUNDLE AVE,WBD Mt. Hope past Beal,0,6103,,991293.6522851959,682135.2223453651
85,42.711742,0,195,-84.458975,,,,E MOUNT HOPE RD & JANICE LEE DR,EBD Mt Hope past Hagadorn,0,195,,999752.73098282,682086.1209001881
86,42.758653,0,4835,-84.462729,,,,BIRCH ROW DR & N HAGADORN RD,EBD Birch Row past Hagadorn,0,4835,,999445.8035526949,687300.2677745719
87,42.763364,0,3779,-84.578892,,,,N GRAND RIVER AVE & DELTA ST,EBD Grand River past Delta River,0,3779,,989943.0473867058,687831.573463092
88,42.764725,0,3778,-84.583611,,,,N GRAND RIVER AVE & BENTON BLVD,EBD Grand River past Benton Blvd,0,3778,,989557.2466594311,687983.4536985245
89,42.727464,0,191,-84.498459,,,,UNIVERSITY VLG & UNIVERSITY VILLAGE ENTRANCE,University Village,0,191,,996520.8174783788,683834.4991788042
90,42.722561,0,2890,-84.478053,,,,FARM LN,SBD Farm past Wilson,0,2890,,998191.0091769667,683288.8681618787
91,42.68443,0,4471,-84.506548,,,,BEAU JARDIN DR & TRAPPERS COVE TRL,EBD Beau Jardin past Belle Chase,0,4471,,995855.6785369063,679051.8224762693
92,42.740384,0,3679,-84.577055,,,,N VERLINDEN AVE & N GENESEE ST,NBD Verlinden past Genesee Dr,0,3679,,990089.4761857785,685277.0929681356
93,42.747881,0,1144,-84.483637,,,,1400 ABBOT RD & E SAGINAW ST,NBD Abbot past Saginaw,0,1144,,997734.8599050683,686103.3117448566
94,42.730021,0,4650,-84.508737,,,,E KALAMAZOO ST & S HOMER ST,WBD Kalamazoo past Clippert,0,4650,,995679.6942681059,684119.2048887494
95,42.669369,0,4558,-84.556248,,,,W MILLER RD & ELLENDALE DR,WBD Miller past Ellendale Dr,0,4558,,991782.4200664641,677381.7228936565
96,42.669352,0,4559,-84.558776,,,,W MILLER RD & HILLIARD RD,WBD Miller past Hilliard Rd,0,4559,,991575.2842416272,677380.0951877802
97,42.733782,0,3672,-84.591159,,,,W MICHIGAN AVE & N DEERFIELD AVE,EBD Michigan at Brynford Ave,0,3672,,988934.0065035967,684545.1246859349
98,42.733791,0,3673,-84.587105,,,,W MICHIGAN AVE & ALGER ST,EBD Michigan past Rosemary Ave,0,3673,,989265.8141267983,684545.5752749767
99,42.733791,0,3670,-84.597621,,,,W MICHIGAN AVE & STONER RD,EBD Michigan past Stoner Rd,0,3670,,988405.1157958672,684547.0359198727
100,42.733764,0,3671,-84.593972,,,,W MICHIGAN AVE & BON AIR RD,EBD Michigan past Bon Air Rd,0,3671,,988703.768685994,684543.5153014413
101,42.735024,0,3676,-84.577032,,,,N VERLINDEN AVE & FORBES ST,NBD Verlinden past Inverness Av,0,3676,,990090.461043721,684681.3286646232
102,42.737344,0,3677,-84.577014,,,,N VERLINDEN AVE & S GENESEE DR,NBD Verlinden past Shiawassee St,0,3677,,990092.3226214959,684939.1929565948
103,42.733781,0,3674,-84.584833,,,,W MICHIGAN AVE & HATHAWAY ST,EBD Michigan past Hathaway St,0,3674,,989451.7677333173,684544.1630016472
104,42.733781,0,3675,-84.581332,,,,W MICHIGAN AVE & N VERLINDEN AVE,EBD Michigan past Clare St,0,3675,,989738.3126114017,684543.709805776
105,42.743119,0,2543,-84.493572,,,,940 N HARRISON RD & NORTHLAWN ST,NBD Harrison past Northlawn St,0,2543,,996921.6591809413,685574.3432305623
106,42.740596,0,2542,-84.493539,,,,720 N HARRISON RD & SOUTHLAWN AVE,NBD Harrison past Wildwood Dr,0,2542,,996924.2285706399,685293.9102537644
107,42.682977,0,3384,-84.514602,,,,E JOLLY RD & DUNCKEL RD,WBD Jolly past Dunckel Rd,0,3384,,995195.8180655101,678890.779193751
108,42.686892,0,3385,-84.523351,,,,AURELIUS RD & IRENE ST,NBD Aurelius past Irene St,0,3385,,994479.491882159,679326.4686616501
109,42.753491,0,2547,-84.493458,,,,1800 N HARRISON RD & BLANCHETTE DR,NBD Harrison past Blanchette Dr,0,2547,,996931.526121185,686727.1951961084
110,42.751468,0,2546,-84.493498,,,,1620 N HARRISON RD & DARLINGTON AVE,NBD Harrison past Gainsborough Dr,0,2546,,996928.1483194137,686502.337672461
111,42.684441,0,3380,-84.509408,,,,3029 BEAU JARDIN DR & FIVE OAKS DR,EBD Beau Jardin before Belle Chase,0,3380,,995621.4027171155,679053.1966838626
112,42.68493,0,3381,-84.504731,,,,TRAPPERS COVE TRL & BEAU JARDIN DR,NBD Trappers Cove past Beau Jardin,0,3381,,996004.5516469898,679107.3023155002
113,42.75843,0,2549,-84.493475,,,,2210 N HARRISON RD & TARLETON AVE,NBD Harrison past Tarleton Ave,0,2549,,996930.3914454601,687276.1739552072
114,42.755343,0,2548,-84.493505,,,,1900 N HARRISON RD & CROWN BLVD,NBD Harrison Rd at Crown Blvd,0,2548,,996927.7767741042,686933.0495714566
115,42.673038,0,5795,-84.504354,,,,ENGLISH OAK DR & PINE TREE RD,WBD English Oak past Pinetree,0,5795,,996034.6374646408,677785.5706621725
116,42.695062,0,3388,-84.523317,,,,AURELIUS RD & GREENWICH CT,NBD Aurelius past Irvington Ave,0,3388,,994483.0378612428,680234.515853742
117,42.696703,0,3389,-84.515544,,,,STONELEIGH DR & CALLIHAN CT,EBD Stoneleigh past Prov. House,0,3389,,995119.7833043978,680416.4019634109
118,42.743283,0,2385,-84.524004,,,,E GRAND RIVER AVE & WOOD ST,WBD Grand River past Wood St,0,2385,,994431.3098730769,685594.2087660732
119,42.743317,0,2384,-84.521596,,,,E GRAND RIVER AVE & N FOSTER AVE,WBD Grand River past Fairview,0,2384,,994628.3680634974,685597.8240002051
120,42.746284,0,3747,-84.552051,,,,N WASHINGTON AVE & E GRAND RIVER AVE,NBD Washington past Maple St,0,3747,,992136.524472786,685930.1145259058
121,42.725455,0,2442,-84.536452,,,,PENNSYLVANIA/MAIN CONNECTOR & E JOLLY RD,EBD Malcolm X past S Pennsylvania Ave,0,2442,,993410.6619012994,683613.5816443502
122,42.75962,0,2525,-84.48362,,,,Abbot Rd & E Lake Lansing Rd,NBD Abbot past W Lake Lansing Rd,0,2525,,997736.7000539287,687408.1179316672
123,42.74372,0,3583,-84.540098,,,,E OAKLAND AVE & PRUDDEN ST,WBD Oakland past Ballard St,0,3583,,993114.3322654073,685644.0282598913
124,42.745712,0,2446,-84.553808,,,,N CAPITOL AVE & W MAPLE ST,SBD Capitol before Kilborn St,0,2446,,991992.6729340202,685866.7098997161
125,42.74179,0,3585,-84.546574,,,,N CEDAR ST & MONROE ST,SBD Cedar before E Saginaw St,0,3585,,992584.1406185457,685430.0845881607
126,42.73743,0,3586,-84.567547,,,,W SHIAWASSEE ST & N MARTIN LUTHER KING JR BLVD,WBD Shiawassee past MLK Blvd,0,3586,,990867.1309831955,684947.6305308454
127,42.737439,0,3587,-84.570238,,,,W SHIAWASSEE ST & HOWE ST,WBD Shiawassee past Carey St,0,3587,,990646.8967778431,684948.9403185896
128,42.737422,0,3588,-84.571884,,,,W SHIAWASSEE ST & WESTMORELAND AVE,WBD Shiawassee past Westmoreland,0,3588,,990512.1828768121,684947.2436872079
129,42.733827,0,3669,-84.60219,,,,W MICHIGAN AVE & CLEMENT RD,EBD Michigan past Waverly Rd,0,3669,,988031.1662447605,684551.706997846
130,42.723127,0,4219,-84.470805,,,,WILSON RD & FARM LN,EBD Wilson past Bogue,0,4219,,998784.3579928237,683351.6415561085
131,42.735972,0,5823,-84.509233,,,,VINE ST & N HOMER ST,EBD Vine past Homer,0,5823,,995639.5341704364,684780.6799916558
