route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
766,0,766,,Express - Anoka -  Champlin - W River Rd - Mpls,3,https://www.metrotransit.org/route/766,,000000,117
768,0,768,,Express - Noble P&R - Mpls,3,https://www.metrotransit.org/route/768,,000000,118
774,5,774,,Plymouth - Express - Station 73,3,https://www.metrotransit.org/route/774,,000000,119
776,5,776,,Plymouth - Express - Southwest Plymouth,3,https://www.metrotransit.org/route/776,,000000,120
781,4,781,,Maple Grove - Express - Maple Grove Station,3,https://www.metrotransit.org/route/781,,000000,121
785,4,785,,Maple Grove - Express - Parkway Station,3,https://www.metrotransit.org/route/785,,000000,122
789,4,789,,Maple Grove - Express - Maple Grove Sta - U of M,3,https://www.metrotransit.org/route/789,,000000,123
790,5,790,,Plymouth - Express - Cub Foods - Four Seasons,3,https://www.metrotransit.org/route/790,,000000,124
795,5,795,,Plymouth - Express - Midday - Northeast Plymouth,3,https://www.metrotransit.org/route/795,,000000,125
801,2,801,,Brooklyn Ctr - Columbia Heights - Rosedale,3,https://www.metrotransit.org/route/801,,000000,126
805,2,805,,Anoka - Coon Rapids - Northtown,3,https://www.metrotransit.org/route/805,,000000,127
824,0,824,,Ltd Stop - Northtown - Monroe - University - Mpls,3,https://www.metrotransit.org/route/824,,000000,128
831,2,831,,117th Av - Polk - Northtown,3,https://www.metrotransit.org/route/831,,000000,129
850,0,850,,Express - Riverdale P&R - Foley P&R - Mpls,3,https://www.metrotransit.org/route/850,,000000,130
852,0,852,,Express - Anoka - Coon Rapids - Northtown - Mpls,3,https://www.metrotransit.org/route/852,,000000,131
