,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location,stop_x,stop_y
42,107,0107,S Park & W Olin (NB),This stop (#0107) is northbound on the 1117 block of Park St (S) farside Olin Ave (W),43.054383,-89.396533,MMT,CMAD,0,,1,0.0,1,S Park,1117,W Olin,598073.914717397,732532.1218543445
43,110,0110,Gilson & Beld (WB),This stop (#0110) is westbound on the 1698 block of Gilson St nearside Beld St,43.049924,-89.392561,MMT,CMAD,0,,3,270.0,0,Gilson,1698,Beld,598366.2096015995,732017.4369514977
44,113,0113,W Washington & Brittingham (EB),This stop (#0113) is eastbound on the 801 block of W Washington Ave adjacent Brittingham Park,43.06501,-89.397603,MMT,CMAD,0,,2,90.0,1,W Washington,801,Brittingham,598059.5723985443,733716.7934418045
45,115,0115,N Park & Regent (NB),This stop (#0115) is northbound on the 21 block of Park St (N) farside Regent St,43.067983,-89.400724,MMT,CMAD,0,,1,0.0,1,N Park,21,Regent,597826.360776325,734062.3319415908
46,121,0121,W Badger & Fiedler (EB),This stop (#0121) is eastbound on the 1099 block of Badger Rd (W) farside Fiedler Ln,43.038466,-89.401117,MMT,TMAD,0,,1,90.0,1,W Badger,1099,Fiedler,597592.6600035606,730788.7072871849
47,124,0124,S Park & Wingra (SB),This stop (#0124) is southbound on the 1700 block of Park St (S) farside Wingra Dr (W),43.048957,-89.394289,MMT,CMAD,0,,1,180.0,1,S Park,1700,Wingra,598219.1981471105,731918.7616528992
48,133,0133,University & N Breese (EB),This stop (#0133) is eastbound on the 1599 block of University Ave farside Breese Ter (N),43.073275,-89.413154,MMT,CMAD,0,,1,90.0,1,University,1599,N Breese,596852.9346179923,734711.8757947712
49,146,0146,Fish Hatchery & Midland (SB),This stop (#0146) is southbound on the 1200 block of Fish Hatchery Rd farside Midland St,43.053981,-89.399186,MMT,CMAD,0,,1,180.0,1,Fish Hatchery,1200,Midland,597855.6128597797,732500.7800503871
50,147,0147,W Olin & Hickory (EB),This stop (#0147) is eastbound on the 599 block of Olin Ave (W) farside Hickory St,43.053872,-89.391782,MMT,CMAD,0,,1,90.0,1,W Olin,599,Hickory,598456.4454928496,732451.6689686538
51,150,0150,N Rusk & Nygard (SB),This stop (#0150) is southbound on the 2198 block of Rusk Ave (N) nearside Nygard St,43.041193,-89.384359,MMT,CMAD,0,,3,180.0,1,N Rusk,2198,Nygard,598973.1907296709,731007.576824817
52,153,0153,E Olin & Expo (EB),This stop (#0153) is eastbound on the 199 block of Olin Ave (E) farside Expo Pkwy,43.052132,-89.38075,MMT,TMAD,0,,1,90.0,1,E Olin,199,Expo,599340.9598319165,732203.5231697236
53,158,0158,S Mills & Vilas (SB),This stop (#0158) is southbound on the 400 block of Mills St (S) farside Vilas Ave,43.062871,-89.404194,MMT,CMAD,0,,1,180.0,1,S Mills,400,Vilas,597509.5236683134,733512.4007158636
54,160,0160,University & N Randall (WB),This stop (#0160) is westbound on the 1400 block of University Ave farside Randall Ave (N),43.073481,-89.409413,MMT,CMAD,0,,1,270.0,1,University,1400,N Randall,597158.1988109441,734715.9804863825
